year,region_type,region_year_spec,region_id,region_level,mental_health_count
0,2020,NUTS,2016,AT,0,9
1,2020,NUTS,2016,AT1,1,5
2,2020,NUTS,2016,AT12,2,2
3,2020,NUTS,2016,AT124,3,2
4,2020,NUTS,2016,AT13,2,3
5,2020,NUTS,2016,AT130,3,3
6,2020,NUTS,2016,AT2,1,3
7,2020,NUTS,2016,AT22,2,3
8,2020,NUTS,2016,AT221,3,3
9,2020,NUTS,2016,AT3,1,1
10,2020,NUTS,2016,AT33,2,1
11,2020,NUTS,2016,AT332,3,1
12,2020,NUTS,2016,BE,0,7
13,2020,NUTS,2016,BE1,1,1
14,2020,NUTS,2016,BE10,2,1
15,2020,NUTS,2016,BE100,3,1
16,2020,NUTS,2016,BE2,1,5
17,2020,NUTS,2016,BE21,2,3
18,2020,NUTS,2016,BE211,3,3
19,2020,NUTS,2016,BE23,2,2
20,2020,NUTS,2016,BE234,3,2
21,2020,NUTS,2016,BE3,1,1
22,2020,NUTS,2016,BE32,2,1
23,2020,NUTS,2016,BE323,3,1
24,2020,NUTS,2016,CH,0,21
25,2020,NUTS,2016,CH0,1,21
26,2020,NUTS,2016,CH01,2,6
27,2020,NUTS,2016,CH011,3,3
28,2020,NUTS,2016,CH013,3,3
29,2020,NUTS,2016,CH02,2,7
30,2020,NUTS,2016,CH021,3,7
31,2020,NUTS,2016,CH04,2,8
32,2020,NUTS,2016,CH040,3,8
33,2020,NUTS,2016,CY,0,1
34,2020,NUTS,2016,CY0,1,1
35,2020,NUTS,2016,CY00,2,1
36,2020,NUTS,2016,CY000,3,1
37,2020,NUTS,2016,CZ,0,2
38,2020,NUTS,2016,CZ0,1,2
39,2020,NUTS,2016,CZ04,2,1
40,2020,NUTS,2016,CZ042,3,1
41,2020,NUTS,2016,CZ06,2,1
42,2020,NUTS,2016,CZ064,3,1
43,2020,NUTS,2016,DE,0,32
44,2020,NUTS,2016,DE1,1,3
45,2020,NUTS,2016,DE12,2,1
46,2020,NUTS,2016,DE125,3,1
47,2020,NUTS,2016,DE14,2,2
48,2020,NUTS,2016,DE142,3,1
49,2020,NUTS,2016,DE144,3,1
50,2020,NUTS,2016,DE2,1,3
51,2020,NUTS,2016,DE21,2,3
52,2020,NUTS,2016,DE212,3,3
53,2020,NUTS,2016,DE3,1,7
54,2020,NUTS,2016,DE30,2,7
55,2020,NUTS,2016,DE300,3,7
56,2020,NUTS,2016,DE4,1,1
57,2020,NUTS,2016,DE40,2,1
58,2020,NUTS,2016,DE402,3,1
59,2020,NUTS,2016,DE6,1,1
60,2020,NUTS,2016,DE60,2,1
61,2020,NUTS,2016,DE600,3,1
62,2020,NUTS,2016,DE7,1,1
63,2020,NUTS,2016,DE71,2,1
64,2020,NUTS,2016,DE712,3,1
65,2020,NUTS,2016,DE9,1,2
66,2020,NUTS,2016,DE92,2,2
67,2020,NUTS,2016,DE929,3,2
68,2020,NUTS,2016,DEA,1,6
69,2020,NUTS,2016,DEA1,2,1
70,2020,NUTS,2016,DEA13,3,1
71,2020,NUTS,2016,DEA2,2,2
72,2020,NUTS,2016,DEA22,3,2
73,2020,NUTS,2016,DEA3,2,3
74,2020,NUTS,2016,DEA33,3,3
75,2020,NUTS,2016,DEC,1,2
76,2020,NUTS,2016,DEC0,2,2
77,2020,NUTS,2016,DEC01,3,2
78,2020,NUTS,2016,DED,1,3
79,2020,NUTS,2016,DED4,2,2
80,2020,NUTS,2016,DED41,3,2
81,2020,NUTS,2016,DED5,2,1
82,2020,NUTS,2016,DED51,3,1
83,2020,NUTS,2016,DEE,1,3
84,2020,NUTS,2016,DEE0,2,3
85,2020,NUTS,2016,DEE03,3,3
86,2020,NUTS,2016,DK,0,5
87,2020,NUTS,2016,DK0,1,5
88,2020,NUTS,2016,DK01,2,3
89,2020,NUTS,2016,DK011,3,3
