,year,nuts_id,nuts_year_spec,impact_studies_count
0,2018.0,FR10,2016,1
1,2019.0,ES30,2016,1
2,2019.0,NL33,2016,1
3,2020.0,AT13,2016,2
4,2020.0,BE21,2016,2
5,2020.0,BE24,2016,3
6,2020.0,BG41,2016,1
7,2020.0,CH01,2016,6
8,2020.0,CH02,2016,3
9,2020.0,CH03,2016,2
10,2020.0,CH04,2016,3
11,2020.0,CZ01,2016,1
12,2020.0,CZ06,2016,3
13,2020.0,DE12,2016,4
14,2020.0,DE14,2016,5
15,2020.0,DE21,2016,4
16,2020.0,DE23,2016,1
17,2020.0,DE25,2016,1
18,2020.0,DE26,2016,1
19,2020.0,DE30,2016,6
20,2020.0,DE71,2016,6
21,2020.0,DE72,2016,4
22,2020.0,DE73,2016,1
23,2020.0,DE91,2016,3
24,2020.0,DEA1,2016,2
25,2020.0,DEA2,2016,2
26,2020.0,DEA3,2016,2
27,2020.0,DEA5,2016,1
28,2020.0,DED4,2016,1
29,2020.0,DK01,2016,4
30,2020.0,DK04,2016,5
31,2020.0,EE00,2016,3
32,2020.0,ES24,2016,1
33,2020.0,ES30,2016,7
34,2020.0,FI1B,2016,4
35,2020.0,FR10,2016,8
36,2020.0,FRE1,2016,1
37,2020.0,FRJ1,2016,1
38,2020.0,FRK2,2016,3
39,2020.0,FRL0,2016,3
40,2020.0,HU11,2016,1
41,2020.0,HU23,2016,1
42,2020.0,IE05,2016,1
43,2020.0,IE06,2016,1
44,2020.0,ITC1,2016,2
45,2020.0,ITC4,2016,6
46,2020.0,ITF3,2016,3
47,2020.0,ITG1,2016,1
48,2020.0,ITH3,2016,1
49,2020.0,ITH4,2016,1
50,2020.0,ITI1,2016,2
51,2020.0,ITI2,2016,1
52,2020.0,ITI4,2016,2
53,2020.0,NL11,2016,1
54,2020.0,NL22,2016,7
55,2020.0,NL32,2016,5
56,2020.0,NL33,2016,4
57,2020.0,NO06,2016,2
58,2020.0,NO07,2016,1
59,2020.0,PL21,2016,2
60,2020.0,PL22,2016,2
61,2020.0,PL41,2016,1
62,2020.0,PL63,2016,1
63,2020.0,PL84,2016,1
64,2020.0,SE11,2016,1
65,2020.0,SE23,2016,1
66,2020.0,SI04,2016,1
67,2020.0,SK01,2016,1
68,2020.0,TR10,2016,2
69,2020.0,TR51,2016,1
70,2020.0,UKD4,2016,1
71,2020.0,UKD7,2016,9
72,2020.0,UKE2,2016,1
73,2020.0,UKE3,2016,2
74,2020.0,UKE4,2016,1
75,2020.0,UKF1,2016,1
76,2020.0,UKG2,2016,5
77,2020.0,UKH1,2016,11
78,2020.0,UKH2,2016,10
79,2020.0,UKI3,2016,20
80,2020.0,UKI7,2016,2
81,2020.0,UKJ1,2016,11
82,2020.0,UKJ2,2016,3
83,2020.0,UKJ4,2016,2
84,2020.0,UKK1,2016,2
85,2020.0,UKM8,2016,2
86,2021.0,BE21,2016,3
87,2021.0,BE23,2016,1
88,2021.0,CH01,2016,1
89,2021.0,DE21,2016,2
90,2021.0,DE30,2016,1
91,2021.0,DE92,2016,1
92,2021.0,DEA1,2016,1
93,2021.0,DK01,2016,1
94,2021.0,EE00,2016,1
95,2021.0,EL30,2016,1
96,2021.0,EL43,2016,1
97,2021.0,EL51,2016,1
98,2021.0,FR10,2016,1
99,2021.0,FRG0,2016,1
100,2021.0,FRI1,2016,1
101,2021.0,FRJ2,2016,1
102,2021.0,IE05,2016,1
103,2021.0,ITC4,2016,1
104,2021.0,ITI4,2016,1
105,2021.0,LU00,2016,1
106,2021.0,NL22,2016,2
107,2021.0,NL33,2016,4
108,2021.0,NO01,2016,1
109,2021.0,NO06,2016,1
110,2021.0,PL84,2016,1
111,2021.0,PT11,2016,1
112,2021.0,SE11,2016,3
113,2021.0,SE33,2016,1
114,2021.0,UKD3,2016,2
115,2021.0,UKD4,2016,1
116,2021.0,UKD7,2016,3
117,2021.0,UKE4,2016,1
118,2021.0,UKG2,2016,1
119,2021.0,UKG3,2016,1
120,2021.0,UKH1,2016,1
121,2021.0,UKH2,2016,2
122,2021.0,UKI3,2016,1
123,2021.0,UKJ1,2016,3
124,2021.0,UKJ2,2016,1
125,2021.0,UKJ4,2016,1
