year,region_type,region_year_spec,region_id,region_level,ai_covid_count
0,2020,NUTS,2016,AT,0,6
1,2020,NUTS,2016,AT1,1,2
2,2020,NUTS,2016,AT13,2,2
3,2020,NUTS,2016,AT130,3,2
4,2020,NUTS,2016,AT2,1,1
5,2020,NUTS,2016,AT22,2,1
6,2020,NUTS,2016,AT221,3,1
7,2020,NUTS,2016,AT3,1,3
8,2020,NUTS,2016,AT31,2,2
9,2020,NUTS,2016,AT312,3,2
10,2020,NUTS,2016,AT32,2,1
11,2020,NUTS,2016,AT323,3,1
12,2020,NUTS,2016,CH,0,9
13,2020,NUTS,2016,CH0,1,9
14,2020,NUTS,2016,CH01,2,3
15,2020,NUTS,2016,CH011,3,3
16,2020,NUTS,2016,CH04,2,6
17,2020,NUTS,2016,CH040,3,6
18,2020,NUTS,2016,CZ,0,1
19,2020,NUTS,2016,CZ0,1,1
20,2020,NUTS,2016,CZ06,2,1
21,2020,NUTS,2016,CZ064,3,1
22,2020,NUTS,2016,DE,0,13
23,2020,NUTS,2016,DE2,1,2
24,2020,NUTS,2016,DE21,2,2
25,2020,NUTS,2016,DE212,3,2
26,2020,NUTS,2016,DE3,1,1
27,2020,NUTS,2016,DE30,2,1
28,2020,NUTS,2016,DE300,3,1
29,2020,NUTS,2016,DE6,1,2
30,2020,NUTS,2016,DE60,2,2
31,2020,NUTS,2016,DE600,3,2
32,2020,NUTS,2016,DE9,1,2
33,2020,NUTS,2016,DE91,2,1
34,2020,NUTS,2016,DE911,3,1
35,2020,NUTS,2016,DE94,2,1
36,2020,NUTS,2016,DE943,3,1
37,2020,NUTS,2016,DEA,1,3
38,2020,NUTS,2016,DEA2,2,2
39,2020,NUTS,2016,DEA22,3,1
40,2020,NUTS,2016,DEA2C,3,1
41,2020,NUTS,2016,DEA4,2,1
42,2020,NUTS,2016,DEA47,3,1
43,2020,NUTS,2016,DEB,1,1
44,2020,NUTS,2016,DEB1,2,1
45,2020,NUTS,2016,DEB17,3,1
46,2020,NUTS,2016,DED,1,2
47,2020,NUTS,2016,DED4,2,2
48,2020,NUTS,2016,DED41,3,2
49,2020,NUTS,2016,DK,0,1
50,2020,NUTS,2016,DK0,1,1
51,2020,NUTS,2016,DK01,2,1
52,2020,NUTS,2016,DK011,3,1
53,2020,NUTS,2016,EL,0,1
54,2020,NUTS,2016,EL3,1,1
55,2020,NUTS,2016,EL30,2,1
56,2020,NUTS,2016,EL303,3,1
57,2020,NUTS,2016,ES,0,6
58,2020,NUTS,2016,ES3,1,1
59,2020,NUTS,2016,ES30,2,1
60,2020,NUTS,2016,ES300,3,1
61,2020,NUTS,2016,ES4,1,1
62,2020,NUTS,2016,ES41,2,1
63,2020,NUTS,2016,ES412,3,1
64,2020,NUTS,2016,ES6,1,4
65,2020,NUTS,2016,ES61,2,3
66,2020,NUTS,2016,ES614,3,1
67,2020,NUTS,2016,ES617,3,1
68,2020,NUTS,2016,ES618,3,1
69,2020,NUTS,2016,ES62,2,1
70,2020,NUTS,2016,ES620,3,1
71,2020,NUTS,2016,FR,0,5
72,2020,NUTS,2016,FR1,1,2
73,2020,NUTS,2016,FR10,2,2
74,2020,NUTS,2016,FR103,3,1
75,2020,NUTS,2016,FR104,3,1
76,2020,NUTS,2016,FRF,1,2
77,2020,NUTS,2016,FRF1,2,2
78,2020,NUTS,2016,FRF12,3,2
79,2020,NUTS,2016,FRI,1,1
80,2020,NUTS,2016,FRI1,2,1
81,2020,NUTS,2016,FRI12,3,1
82,2020,NUTS,2016,HU,0,1
83,2020,NUTS,2016,HU1,1,1
84,2020,NUTS,2016,HU11,2,1
85,2020,NUTS,2016,HU110,3,1
86,2020,NUTS,2016,IE,0,2
87,2020,NUTS,2016,IE0,1,2
88,2020,NUTS,2016,IE05,2,1
89,2020,NUTS,2016,IE051,3,1
90,2020,NUTS,2016,IE06,2,1
91,2020,NUTS,2016,IE061,3,1
92,2020,NUTS,2016,IT,0,8
93,2020,NUTS,2016,ITC,1,2
94,2020,NUTS,2016,ITC4,2,2
95,2020,NUTS,2016,ITC46,3,1
96,2020,NUTS,2016,ITC47,3,1
97,2020,NUTS,2016,ITH,1,2
98,2020,NUTS,2016,ITH3,2,1
99,2020,NUTS,2016,ITH36,3,1
100,2020,NUTS,2016,ITH5,2,1
101,2020,NUTS,2016,ITH55,3,1
102,2020,NUTS,2016,ITI,1,4
103,2020,NUTS,2016,ITI1,2,4
104,2020,NUTS,2016,ITI14,3,3
105,2020,NUTS,2016,ITI19,3,1
106,2020,NUTS,2016,LU,0,2
107,2020,NUTS,2016,LU0,1,2
108,2020,NUTS,2016,LU00,2,2
109,2020,NUTS,2016,LU000,3,2
110,2020,NUTS,2016,NL,0,2
111,2020,NUTS,2016,NL3,1,1
112,2020,NUTS,2016,NL32,2,1
113,2020,NUTS,2016,NL329,3,1
114,2020,NUTS,2016,NL4,1,1
115,2020,NUTS,2016,NL41,2,1
116,2020,NUTS,2016,NL414,3,1
117,2020,NUTS,2016,NO,0,1
118,2020,NUTS,2016,NO0,1,1
119,2020,NUTS,2016,NO06,2,1
120,2020,NUTS,2016,NO060,3,1
121,2020,NUTS,2016,PL,0,1
122,2020,NUTS,2016,PL9,1,1
123,2020,NUTS,2016,PL91,2,1
124,2020,NUTS,2016,PL911,3,1
125,2020,NUTS,2016,PT,0,1
126,2020,NUTS,2016,PT1,1,1
127,2020,NUTS,2016,PT16,2,1
128,2020,NUTS,2016,PT16E,3,1
129,2020,NUTS,2016,RO,0,2
130,2020,NUTS,2016,RO1,1,1
131,2020,NUTS,2016,RO11,2,1
132,2020,NUTS,2016,RO113,3,1
133,2020,NUTS,2016,RO3,1,1
134,2020,NUTS,2016,RO32,2,1
135,2020,NUTS,2016,RO321,3,1
136,2020,NUTS,2016,SE,0,2
137,2020,NUTS,2016,SE1,1,1
138,2020,NUTS,2016,SE11,2,1
139,2020,NUTS,2016,SE110,3,1
140,2020,NUTS,2016,SE2,1,1
141,2020,NUTS,2016,SE21,2,1
142,2020,NUTS,2016,SE213,3,1
143,2020,NUTS,2016,TR,0,7
144,2020,NUTS,2016,TR1,1,3
145,2020,NUTS,2016,TR10,2,3
146,2020,NUTS,2016,TR100,3,3
147,2020,NUTS,2016,TR5,1,1
148,2020,NUTS,2016,TR51,2,1
149,2020,NUTS,2016,TR510,3,1
150,2020,NUTS,2016,TR8,1,3
151,2020,NUTS,2016,TR81,2,3
152,2020,NUTS,2016,TR811,3,3
153,2020,NUTS,2016,UK,0,40
154,2020,NUTS,2016,UKC,1,1
155,2020,NUTS,2016,UKC1,2,1
156,2020,NUTS,2016,UKC14,3,1
157,2020,NUTS,2016,UKD,1,3
158,2020,NUTS,2016,UKD3,2,1
159,2020,NUTS,2016,UKD33,3,1
160,2020,NUTS,2016,UKD4,2,1
161,2020,NUTS,2016,UKD44,3,1
162,2020,NUTS,2016,UKD7,2,1
163,2020,NUTS,2016,UKD72,3,1
164,2020,NUTS,2016,UKE,1,4
165,2020,NUTS,2016,UKE3,2,1
166,2020,NUTS,2016,UKE32,3,1
167,2020,NUTS,2016,UKE4,2,3
168,2020,NUTS,2016,UKE41,3,1
169,2020,NUTS,2016,UKE42,3,2
170,2020,NUTS,2016,UKF,1,3
171,2020,NUTS,2016,UKF1,2,1
172,2020,NUTS,2016,UKF14,3,1
173,2020,NUTS,2016,UKF2,2,1
174,2020,NUTS,2016,UKF21,3,1
175,2020,NUTS,2016,UKF3,2,1
176,2020,NUTS,2016,UKF30,3,1
177,2020,NUTS,2016,UKG,1,6
178,2020,NUTS,2016,UKG1,2,1
179,2020,NUTS,2016,UKG13,3,1
180,2020,NUTS,2016,UKG3,2,5
181,2020,NUTS,2016,UKG31,3,4
182,2020,NUTS,2016,UKG39,3,1
183,2020,NUTS,2016,UKH,1,7
184,2020,NUTS,2016,UKH1,2,5
185,2020,NUTS,2016,UKH12,3,5
186,2020,NUTS,2016,UKH2,2,1
187,2020,NUTS,2016,UKH25,3,1
188,2020,NUTS,2016,UKH3,2,1
189,2020,NUTS,2016,UKH34,3,1
190,2020,NUTS,2016,UKI,1,5
191,2020,NUTS,2016,UKI3,2,4
192,2020,NUTS,2016,UKI32,3,1
193,2020,NUTS,2016,UKI33,3,3
194,2020,NUTS,2016,UKI7,2,1
195,2020,NUTS,2016,UKI74,3,1
196,2020,NUTS,2016,UKJ,1,6
197,2020,NUTS,2016,UKJ1,2,5
198,2020,NUTS,2016,UKJ14,3,5
199,2020,NUTS,2016,UKJ2,2,1
200,2020,NUTS,2016,UKJ22,3,1
201,2020,NUTS,2016,UKK,1,1
202,2020,NUTS,2016,UKK1,2,1
203,2020,NUTS,2016,UKK11,3,1
204,2020,NUTS,2016,UKL,1,1
205,2020,NUTS,2016,UKL1,2,1
206,2020,NUTS,2016,UKL18,3,1
207,2020,NUTS,2016,UKM,1,3
208,2020,NUTS,2016,UKM7,2,2
209,2020,NUTS,2016,UKM75,3,2
210,2020,NUTS,2016,UKM8,2,1
211,2020,NUTS,2016,UKM82,3,1
212,2021,NUTS,2021,AT,0,1
213,2021,NUTS,2021,AT2,1,1
214,2021,NUTS,2021,AT22,2,1
215,2021,NUTS,2021,AT221,3,1
216,2021,NUTS,2021,CH,0,1
