year,region_type,region_year_spec,region_id,region_level,sdg_01_project_count
2015,NUTS,2013,AT,0,12
2015,NUTS,2013,BE,0,15
2015,NUTS,2013,CZ,0,1
2015,NUTS,2013,DE,0,26
2015,NUTS,2013,DK,0,10
2015,NUTS,2013,EE,0,3
2015,NUTS,2013,ES,0,10
2015,NUTS,2013,FI,0,4
2015,NUTS,2013,FR,0,7
2015,NUTS,2013,HU,0,5
2015,NUTS,2013,IE,0,7
2015,NUTS,2013,IT,0,28
2015,NUTS,2013,LT,0,1
2015,NUTS,2013,LU,0,2
2015,NUTS,2013,LV,0,1
2015,NUTS,2013,NL,0,25
2015,NUTS,2013,PL,0,3
2015,NUTS,2013,PT,0,7
2015,NUTS,2013,RO,0,1
2015,NUTS,2013,SE,0,7
2015,NUTS,2013,SI,0,1
2015,NUTS,2013,SK,0,3
2015,NUTS,2013,UK,0,34
2016,NUTS,2016,AT,0,5
2016,NUTS,2016,BE,0,12
2016,NUTS,2016,CY,0,1
2016,NUTS,2016,CZ,0,1
2016,NUTS,2016,DE,0,20
2016,NUTS,2016,DK,0,5
2016,NUTS,2016,EE,0,1
2016,NUTS,2016,ES,0,7
2016,NUTS,2016,FI,0,4
2016,NUTS,2016,FR,0,4
2016,NUTS,2016,HR,0,1
2016,NUTS,2016,HU,0,2
2016,NUTS,2016,IE,0,2
2016,NUTS,2016,IT,0,25
2016,NUTS,2016,LT,0,1
2016,NUTS,2016,LV,0,1
2016,NUTS,2016,NL,0,16
2016,NUTS,2016,PL,0,2
2016,NUTS,2016,PT,0,11
2016,NUTS,2016,SE,0,7
2016,NUTS,2016,SI,0,5
2016,NUTS,2016,UK,0,20
2017,NUTS,2016,AT,0,5
2017,NUTS,2016,BE,0,17
2017,NUTS,2016,CZ,0,1
2017,NUTS,2016,DE,0,10
2017,NUTS,2016,DK,0,7
2017,NUTS,2016,ES,0,4
2017,NUTS,2016,FI,0,2
2017,NUTS,2016,FR,0,3
2017,NUTS,2016,HR,0,1
2017,NUTS,2016,IE,0,8
2017,NUTS,2016,IT,0,20
2017,NUTS,2016,NL,0,15
2017,NUTS,2016,PL,0,5
2017,NUTS,2016,PT,0,2
2017,NUTS,2016,RO,0,2
2017,NUTS,2016,SE,0,4
2017,NUTS,2016,SI,0,2
2017,NUTS,2016,UK,0,17
2018,NUTS,2016,AT,0,3
2018,NUTS,2016,BE,0,15
2018,NUTS,2016,BG,0,1
2018,NUTS,2016,CZ,0,4
2018,NUTS,2016,DE,0,22
2018,NUTS,2016,DK,0,8
2018,NUTS,2016,EE,0,3
2018,NUTS,2016,ES,0,7
2018,NUTS,2016,FI,0,6
2018,NUTS,2016,FR,0,10
2018,NUTS,2016,HR,0,2
2018,NUTS,2016,HU,0,4
2018,NUTS,2016,IE,0,1
2018,NUTS,2016,IT,0,13
2018,NUTS,2016,LU,0,1
2018,NUTS,2016,NL,0,20
2018,NUTS,2016,PL,0,4
2018,NUTS,2016,RO,0,1
2018,NUTS,2016,SE,0,6
2018,NUTS,2016,SI,0,1
2018,NUTS,2016,UK,0,24
2019,NUTS,2016,AT,0,12
2019,NUTS,2016,BE,0,18
2019,NUTS,2016,BG,0,1
2019,NUTS,2016,CZ,0,3
2019,NUTS,2016,DE,0,20
2019,NUTS,2016,DK,0,12
2019,NUTS,2016,EE,0,3
2019,NUTS,2016,ES,0,6
2019,NUTS,2016,FI,0,5
2019,NUTS,2016,FR,0,9
2019,NUTS,2016,HR,0,5
2019,NUTS,2016,HU,0,7
2019,NUTS,2016,IE,0,8
2019,NUTS,2016,IT,0,22
2019,NUTS,2016,LU,0,1
2019,NUTS,2016,LV,0,3
2019,NUTS,2016,NL,0,20
2019,NUTS,2016,PL,0,2
2019,NUTS,2016,PT,0,1
2019,NUTS,2016,SE,0,11
2019,NUTS,2016,SI,0,3
2019,NUTS,2016,SK,0,6
2019,NUTS,2016,UK,0,26
2020,NUTS,2016,AT,0,5
2020,NUTS,2016,BE,0,22
2020,NUTS,2016,DE,0,26
2020,NUTS,2016,DK,0,6
2020,NUTS,2016,EE,0,5
2020,NUTS,2016,ES,0,14
2020,NUTS,2016,FI,0,3
2020,NUTS,2016,FR,0,4
2020,NUTS,2016,HR,0,3
2020,NUTS,2016,HU,0,2
2020,NUTS,2016,IE,0,7
2020,NUTS,2016,IT,0,31
2020,NUTS,2016,LT,0,1
2020,NUTS,2016,LU,0,2
2020,NUTS,2016,NL,0,34
2020,NUTS,2016,PL,0,4
2020,NUTS,2016,PT,0,1
2020,NUTS,2016,SE,0,10
2020,NUTS,2016,SI,0,5
2020,NUTS,2016,SK,0,1
2020,NUTS,2016,UK,0,14
2021,NUTS,2021,AT,0,7
2021,NUTS,2021,BE,0,14
2021,NUTS,2021,CZ,0,1
2021,NUTS,2021,DE,0,17
2021,NUTS,2021,DK,0,6
2021,NUTS,2021,EE,0,3
2021,NUTS,2021,ES,0,15
2021,NUTS,2021,FI,0,3
2021,NUTS,2021,FR,0,15
2021,NUTS,2021,HR,0,1
2021,NUTS,2021,HU,0,5
2021,NUTS,2021,IE,0,2
2021,NUTS,2021,IT,0,17
2021,NUTS,2021,LU,0,2
2021,NUTS,2021,LV,0,2
2021,NUTS,2021,NL,0,23
2021,NUTS,2021,PL,0,2
2021,NUTS,2021,PT,0,6
2021,NUTS,2021,RO,0,3
2021,NUTS,2021,SE,0,3
2021,NUTS,2021,SI,0,1
2021,NUTS,2021,SK,0,1
2021,NUTS,2021,UK,0,14
2015,NUTS,2013,AT1,1,11
2015,NUTS,2013,AT2,1,1
2015,NUTS,2013,BE1,1,6
2015,NUTS,2013,BE2,1,7
2015,NUTS,2013,BE3,1,2
2015,NUTS,2013,CZ0,1,1
2015,NUTS,2013,DE1,1,3
2015,NUTS,2013,DE2,1,5
2015,NUTS,2013,DE3,1,2
2015,NUTS,2013,DE4,1,1
2015,NUTS,2013,DE7,1,2
2015,NUTS,2013,DE8,1,1
2015,NUTS,2013,DE9,1,1
2015,NUTS,2013,DEA,1,7
2015,NUTS,2013,DEC,1,1
2015,NUTS,2013,DED,1,3
2015,NUTS,2013,DK0,1,10
2015,NUTS,2013,EE0,1,3
2015,NUTS,2013,ES2,1,1
2015,NUTS,2013,ES3,1,2
2015,NUTS,2013,ES5,1,5
2015,NUTS,2013,ES6,1,2
2015,NUTS,2013,FI1,1,4
2015,NUTS,2013,FR1,1,7
2015,NUTS,2013,HU1,1,3
2015,NUTS,2013,HU3,1,2
2015,NUTS,2013,IE0,1,7
2015,NUTS,2013,ITC,1,11
2015,NUTS,2013,ITH,1,5
2015,NUTS,2013,ITI,1,12
2015,NUTS,2013,LT0,1,1
2015,NUTS,2013,LU0,1,2
2015,NUTS,2013,LV0,1,1
2015,NUTS,2013,NL1,1,2
2015,NUTS,2013,NL2,1,2
2015,NUTS,2013,NL3,1,17
2015,NUTS,2013,NL4,1,4
2015,NUTS,2013,PL1,1,1
2015,NUTS,2013,PL3,1,1
2015,NUTS,2013,PL5,1,1
2015,NUTS,2013,PT1,1,7
2015,NUTS,2013,RO3,1,1
2015,NUTS,2013,SE1,1,4
2015,NUTS,2013,SE2,1,2
2015,NUTS,2013,SE3,1,1
2015,NUTS,2013,SI0,1,1
2015,NUTS,2013,SK0,1,3
2015,NUTS,2013,UKD,1,3
2015,NUTS,2013,UKE,1,4
2015,NUTS,2013,UKF,1,2
2015,NUTS,2013,UKG,1,1
2015,NUTS,2013,UKI,1,15
2015,NUTS,2013,UKJ,1,5
2015,NUTS,2013,UKK,1,1
2015,NUTS,2013,UKL,1,1
2015,NUTS,2013,UKM,1,2
2016,NUTS,2016,AT1,1,4
2016,NUTS,2016,AT3,1,1
2016,NUTS,2016,BE1,1,7
2016,NUTS,2016,BE2,1,3
2016,NUTS,2016,BE3,1,2
2016,NUTS,2016,CY0,1,1
2016,NUTS,2016,CZ0,1,1
2016,NUTS,2016,DE1,1,4
2016,NUTS,2016,DE2,1,2
2016,NUTS,2016,DE3,1,3
2016,NUTS,2016,DE4,1,1
2016,NUTS,2016,DE7,1,1
2016,NUTS,2016,DE9,1,2
2016,NUTS,2016,DEA,1,5
2016,NUTS,2016,DED,1,1
2016,NUTS,2016,DEF,1,1
2016,NUTS,2016,DK0,1,5
2016,NUTS,2016,EE0,1,1
2016,NUTS,2016,ES3,1,4
2016,NUTS,2016,ES5,1,3
2016,NUTS,2016,FI1,1,4
2016,NUTS,2016,FR1,1,3
2016,NUTS,2016,FRL,1,1
2016,NUTS,2016,HR0,1,1
2016,NUTS,2016,HU1,1,1
2016,NUTS,2016,HU3,1,1
2016,NUTS,2016,IE0,1,2
2016,NUTS,2016,ITC,1,9
2016,NUTS,2016,ITG,1,2
2016,NUTS,2016,ITH,1,5
2016,NUTS,2016,ITI,1,9
2016,NUTS,2016,LT0,1,1
2016,NUTS,2016,LV0,1,1
2016,NUTS,2016,NL2,1,2
2016,NUTS,2016,NL3,1,11
2016,NUTS,2016,NL4,1,3
2016,NUTS,2016,PL5,1,1
2016,NUTS,2016,PL9,1,1
2016,NUTS,2016,PT1,1,11
2016,NUTS,2016,SE1,1,5
2016,NUTS,2016,SE2,1,2
2016,NUTS,2016,SI0,1,5
2016,NUTS,2016,UKD,1,1
2016,NUTS,2016,UKF,1,2
2016,NUTS,2016,UKG,1,2
2016,NUTS,2016,UKH,1,3
2016,NUTS,2016,UKI,1,8
2016,NUTS,2016,UKJ,1,2
2016,NUTS,2016,UKK,1,1
2016,NUTS,2016,UKM,1,1
